sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time",provenance,"api_et","api_index_et","api_index_lt","api_lt","savedsearch_name","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_provenance","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_api_lt","__mv_savedsearch_name","__mv_search_et","__mv_search_lt"
"1657628760.344","search index=""_internal""""halley""","chandana-VirtualBox","1657628760.567313",0,0,1657628760,0,0,completed,"0.094","UI:Search","1657540800.000000000",,,"1657628760.000000000",,"1657540800.000000000","1657628760.000000000",,,,,,,,,,,,,,,,,,,
"1657628767.348","search haley","chandana-VirtualBox","1657628767.180688",0,0,1657628767,0,0,completed,"0.091","UI:Search","1657540800.000000000",,,"1657628767.000000000",,"1657540800.000000000","1657628767.000000000",,,,,,,,,,,,,,,,,,,
"1657628774.352","search index=""_internal"" ""haley""","chandana-VirtualBox","1657628774.437923",0,4,1657628774,4,4,completed,"0.147","UI:Search","1657540800.000000000",,,"1657628774.000000000",,"1657540800.000000000","1657628774.000000000",,,,,,,,,,,,,,,,,,,
"1657628774.354","| loadjob 1657628774.352 events=true require_finished=false | cluster t=0.8 labelonly=true labelfield=_patterns match=termset | findkeywords labelfield=_patterns dedup=true","chandana-VirtualBox","1657628774.721446",0,4,1657628774,4,0,completed,"0.033","UI:Search","1657540800.000000000",,,"1657628774.000000000",,"1657540800.000000000","1657628774.000000000",,,,,,,,,,,,,,,,,,,
"1657628802.356","search index=""_internal"" ""haley"" host=""chandana-VirtualBox""","chandana-VirtualBox","1657628802.058285",0,4,1657628802,4,4,completed,"0.20700000000000002","UI:Search","1657540800.000000000",,,"1657628802.000000000",,"1657540800.000000000","1657628802.000000000",,,,,,,,,,,,,,,,,,,
"1657628882.366","search index=""_internal"" ""hope"" host=""chandana-VirtualBox""","chandana-VirtualBox","1657628882.410293",0,3,1657628882,3,3,completed,"0.151","UI:Search","1657540800.000000000",,,"1657628882.000000000",,"1657540800.000000000","1657628882.000000000",,,,,,,,,,,,,,,,,,,
"1657628975.370","search index=""_internal"" harshith  host=""chandana-VirtualBox""","chandana-VirtualBox","1657628975.399945",0,0,1657628975,0,0,completed,"0.134","UI:Search","1657540800.000000000",,,"1657628975.000000000",,"1657540800.000000000","1657628975.000000000",,,,,,,,,,,,,,,,,,,
"1657628988.372","search index=""_internal"" ""harshith""  host=""chandana-VirtualBox""","chandana-VirtualBox","1657628988.361357",0,1,1657628988,1,1,completed,"0.178","UI:Search","1657540800.000000000",,,"1657628988.000000000",,"1657540800.000000000","1657628988.000000000",,,,,,,,,,,,,,,,,,,
"1657629001.373","search index=""_internal"" ""hope""  host=""chandana-VirtualBox""","chandana-VirtualBox","1657629001.132729",0,3,1657629001,3,3,completed,"0.08","UI:Search","1657540800.000000000",,,"1657629001.000000000",,"1657540800.000000000","1657629001.000000000",,,,,,,,,,,,,,,,,,,
"1657629018.375","search * source=""/opt/splunk/var/log/splunk/splunkd.log""","chandana-VirtualBox","1657629018.942207",0,0,1657629019,0,0,completed,"0.124","UI:Search","1657540800.000000000",,,"1657629018.000000000",,"1657540800.000000000","1657629018.000000000",,,,,,,,,,,,,,,,,,,
"1657629033.376","search index=""_internal"" ""hope1""  host=""chandana-VirtualBox""","chandana-VirtualBox","1657629033.326366",0,0,1657629033,0,0,completed,"0.066","UI:Search","1657540800.000000000",,,"1657629033.000000000",,"1657540800.000000000","1657629033.000000000",,,,,,,,,,,,,,,,,,,
